"","prolific_id","duration","pid","question","choice","row_id","q_id","risk_amount","safe_amount"
"1","5d5bbd713348d20019c7e832",287,"1","Q10_1",0,1,10,100,20
"2","62b1ff970dfb7055f35d6937",289,"2","Q10_1",0,1,10,100,20
"3","5e1ed72fb0285720462a8649",297,"3","Q10_1",1,1,10,100,20
"4","5f2b3239b986da551f26bec7",319,"4","Q10_1",0,1,10,100,20
"5","5eaacf92bb492a0378be2dbf",342,"5","Q10_1",0,1,10,100,20
"6","63160f375a6aad006c2bce9b",344,"6","Q10_1",0,1,10,100,20
"7","5f86d47f938a8502a4443f19",345,"7","Q10_1",0,1,10,100,20
"8","5d6d953846ef42001504fb39",351,"8","Q10_1",0,1,10,100,20
"9","5eff17d115ba87434ab3829b",364,"9","Q10_1",0,1,10,100,20
"10","5e5e8ba19ad3de1af8f29cc0",367,"10","Q10_1",0,1,10,100,20
"11","5f672af943a2070262b8677f",368,"11","Q10_1",0,1,10,100,20
"12","60eed08c1ad192ce66a0c85a",375,"12","Q10_1",0,1,10,100,20
"13","5a23e0f8391e270001a10195",378,"13","Q10_1",0,1,10,100,20
"14","610267d5673564431892ef14",380,"14","Q10_1",0,1,10,100,20
"15","5ab3be78f5918d00012e92d3",392,"15","Q10_1",0,1,10,100,20
"16","5e879ef6785373412156181e",405,"16","Q10_1",0,1,10,100,20
"17","5dc2d4377624401eb1894bcd",407,"17","Q10_1",0,1,10,100,20
"18","5d4c06c6a8d9fb001a1470d5",412,"18","Q10_1",1,1,10,100,20
"19","60fd1cafe3de7892fe9b3bd4",417,"19","Q10_1",0,1,10,100,20
"20","5995889da2bbe000018833d9",424,"20","Q10_1",0,1,10,100,20
"21","5e3dea50f0cb00069dc8e486",425,"21","Q10_1",0,1,10,100,20
"22","5ea1e37fc066eb0d36edb649",426,"22","Q10_1",0,1,10,100,20
"23","5ebaa6dd28b52b000c94b78c",428,"23","Q10_1",0,1,10,100,20
"24","629f6b8c65fcae219e245284",429,"24","Q10_1",0,1,10,100,20
"25","5660c8ff9df648001102f010",431,"25","Q10_1",0,1,10,100,20
"26","55a7ff69fdf99b7508d7da5a",434,"26","Q10_1",1,1,10,100,20
